var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
488,1,1014.0608585620405,1014.0608585620405,1014.0608585620405,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0488_iter0000_d000488.csv,0,1014.0608585620405
637,1,1014.0638372245476,1014.0638372245476,1014.0638372245476,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0637_iter0000_d000637.csv,0,1014.0638372245476
415,1,1014.0639717521236,1014.0639717521236,1014.0639717521236,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0415_iter0000_d000415.csv,0,1014.0639717521236
575,1,1014.0660591989799,1014.0660591989799,1014.0660591989799,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0575_iter0000_d000575.csv,0,1014.0660591989799
91,1,1014.0742064926867,1014.0742064926867,1014.0742064926867,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0091_iter0000_d000091.csv,0,1014.0742064926867
629,1,1014.647328073688,1014.647328073688,1014.647328073688,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0629_iter0000_d000629.csv,0,1014.647328073688
201,1,1014.6846372932208,1014.6846372932208,1014.6846372932208,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0201_iter0000_d000201.csv,0,1014.6846372932208
244,1,1014.7110014070571,1014.7110014070571,1014.7110014070571,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0244_iter0000_d000244.csv,0,1014.7110014070571
335,1,1014.7135082100913,1014.7135082100913,1014.7135082100913,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0335_iter0000_d000335.csv,0,1014.7135082100913
376,1,1014.7152628169003,1014.7152628169003,1014.7152628169003,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0376_iter0000_d000376.csv,0,1014.7152628169003
651,1,1014.7182373563242,1014.7182373563242,1014.7182373563242,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0651_iter0000_d000651.csv,0,1014.7182373563242
292,1,1014.7356196869484,1014.7356196869484,1014.7356196869484,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0292_iter0000_d000292.csv,0,1014.7356196869484
347,1,1014.7527811807928,1014.7527811807928,1014.7527811807928,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0347_iter0000_d000347.csv,0,1014.7527811807928
326,1,1014.7615982876371,1014.7615982876371,1014.7615982876371,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0326_iter0000_d000326.csv,0,1014.7615982876371
388,1,1014.7715863940431,1014.7715863940431,1014.7715863940431,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0388_iter0000_d000388.csv,0,1014.7715863940431
501,1,1014.774743370659,1014.774743370659,1014.774743370659,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0501_iter0000_d000501.csv,0,1014.774743370659
360,1,1014.7755499654166,1014.7755499654166,1014.7755499654166,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0360_iter0000_d000360.csv,0,1014.7755499654166
469,1,1014.7804618231488,1014.7804618231488,1014.7804618231488,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0469_iter0000_d000469.csv,0,1014.7804618231488
673,1,1014.7825796887712,1014.7825796887712,1014.7825796887712,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0673_iter0000_d000673.csv,0,1014.7825796887712
134,1,1014.7835490263889,1014.7835490263889,1014.7835490263889,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0134_iter0000_d000134.csv,0,1014.7835490263889
374,1,1014.7854444387739,1014.7854444387739,1014.7854444387739,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0374_iter0000_d000374.csv,0,1014.7854444387739
308,1,1014.7889131497323,1014.7889131497323,1014.7889131497323,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0308_iter0000_d000308.csv,0,1014.7889131497323
