var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
2372,1,1012.2951184575287,1012.2951184575287,1012.2951184575287,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2372_iter0000_d002372.csv,0,1012.2951184575287
1767,1,1012.2951525402871,1012.2951525402871,1012.2951525402871,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1767_iter0000_d001767.csv,0,1012.2951525402871
1232,1,1012.2951795382489,1012.2951795382489,1012.2951795382489,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1232_iter0000_d001232.csv,0,1012.2951795382489
2288,1,1012.2952793538179,1012.2952793538179,1012.2952793538179,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2288_iter0000_d002288.csv,0,1012.2952793538179
1464,1,1012.2958982145703,1012.2958982145703,1012.2958982145703,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1464_iter0000_d001464.csv,0,1012.2958982145703
2308,1,1012.2959348634718,1012.2959348634718,1012.2959348634718,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2308_iter0000_d002308.csv,0,1012.2959348634718
1854,1,1012.296869503348,1012.296869503348,1012.296869503348,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1854_iter0000_d001854.csv,0,1012.296869503348
2239,1,1012.2969723671808,1012.2969723671808,1012.2969723671808,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2239_iter0000_d002239.csv,0,1012.2969723671808
1410,1,1012.2974342540657,1012.2974342540657,1012.2974342540657,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1410_iter0000_d001410.csv,0,1012.2974342540657
2048,1,1012.2983264785247,1012.2983264785247,1012.2983264785247,design_optimisation\optim_out_v5_2\candidate_bank\designs\var2048_iter0000_d002048.csv,0,1012.2983264785247
1612,1,1012.2994278318407,1012.2994278318407,1012.2994278318407,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1612_iter0000_d001612.csv,0,1012.2994278318407
